"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2811","catalog filters cars by model","chromium","2026-09-21","passed","2026-09-21","","car-shop.spec.js","",""
"","31","rejects protected resources without a bearer token","Auth API","2026-09-21","passed","2026-09-21","","","",""
"","141","rejects checkout when the cart is empty","Cars, cart, and order APIs","2026-09-21","passed","2026-09-21","","","",""
"","464","logs in an existing user","Auth API","2026-09-21","passed","2026-09-21","","","",""
"","1","failure demo captures diagnostics for the Allure report","chromium","2026-09-21","skipped","2026-09-21","","failure-artifacts-demo.spec.js","",""
"","210","filters cars by model and range","Cars, cart, and order APIs","2026-09-21","passed","2026-09-21","","","",""
"","197","lists reusable seeded cars sorted by price by default","Cars, cart, and order APIs","2026-09-21","passed","2026-09-21","","","",""
"","300","registers a user and returns the current account","Auth API","2026-09-21","passed","2026-09-21","","","",""
"","4094","new user can register, browse cars, add to cart, and buy","chromium","2026-09-21","passed","2026-09-21","","car-shop.spec.js","",""
"","186","creates an order from the cart and removes the purchased car from inventory","Cars, cart, and order APIs","2026-09-21","passed","2026-09-21","","","",""
"","258","adds a car to the cart and keeps duplicate adds idempotent","Cars, cart, and order APIs","2026-09-21","passed","2026-09-21","","","",""
